Rk,Player,Tm,Sal2122,Sal2223,Signed Using,Guaranteed
222,Furkan Korkmaz,PHI,"$4,629,630 ","$5,000,000 ",Bird,"$15,000,000 "
223,Davion Mitchell,SAC,"$4,603,200 ","$4,833,600 ",1st Round Pick,"$9,436,800 "
224,Jeff Green,DEN,"$4,500,000 ","$4,500,000 ",MLE,"$9,000,000 "
225,Ish Smith,WAS,"$4,500,000 ","$4,725,000 ",Room Exception,"$4,500,000 "
226,Jalen Smith,IND,"$4,458,000 ","$4,670,160 ",1st Round Pick,"$14,171,933 "
227,Lonnie Walker IV,SAS,"$4,447,896 ","$6,479,000 ",1st Round Pick,"$4,447,896 "
228,Cameron Johnson,PHO,"$4,437,000 ","$5,887,899 ",1st Round Pick,"$10,324,899 "
229,Ziaire Williams,MEM,"$4,373,160 ","$4,591,920 ",1st Round Pick,"$8,965,080 "
230,Bobby Portis,MIL,"$4,347,600 ","$10,843,350 ",Non Bird,"$39,480,054 "
231,Maurice Harkless,SAC,"$4,347,600 ","$4,564,980 ",Non Bird,"$4,347,600 "
232,Kevin Huerter,ATL,,"$14,508,929 ",1st Round Pick,"$4,253,357 "
233,Devin Vassell,SAS,"$4,235,160 ","$4,437,000 ",1st Round Pick,"$8,672,160 "
234,P.J. Washington,CHO,"$4,215,120 ","$5,808,435 ",1st Round Pick,"$10,023,555 "
235,James Bouknight,CHO,"$4,154,400 ","$4,362,240 ",1st Round Pick,"$8,516,640 "
236,Josh Okogie,MIN,"$4,087,904 ","$1,968,175 ",1st Round Pick,"$4,087,904 "
237,Grayson Allen,MIL,"$4,054,695 ","$8,500,000 ",1st Round Pick,"$21,054,695 "
238,Tyrese Haliburton,IND,"$4,023,600 ","$4,215,120 ",1st Round Pick,"$8,238,720 "
239,Tyler Herro,MIA,"$4,004,280 ","$5,722,116 ",1st Round Pick,"$9,726,396 "
240,Dorian Finney-Smith,DAL,"$4,000,000 ","$12,402,000 ",Bird Rights,"$44,182,480 "
241,Terence Davis,SAC,"$4,000,000 ","$4,000,000 ",Early Bird,"$8,000,000 "
242,George Hill,MIL,"$4,000,000 ","$4,000,000 ",MLE,"$8,000,000 "
243,Jarred Vanderbilt,MIN,"$4,000,000 ","$4,320,000 ",Bird,"$4,000,000 "
244,Gorgui Dieng,ATL,"$4,000,000 ",,MLE,"$4,000,000 "
245,Aaron Holiday,PHO,"$3,980,551 ","$1,968,175 ",1st Round Pick,"$3,980,551 "
246,Joshua Primo,SAS,"$3,946,800 ","$4,144,320 ",1st Round Pick,"$8,091,120 "
247,Jake Layman,MIN,"$3,940,184 ",,Sign and Trade,"$3,940,184 "
248,Anfernee Simons,POR,"$3,938,818 ","$22,321,429 ",1st Round Pick,"$103,938,818 "
249,Justise Winslow,POR,"$3,902,439 ","$4,097,561 ",Mini MLE,"$8,000,000 "
250,Kira Lewis Jr.,NOP,"$3,822,240 ","$4,004,280 ",1st Round Pick,"$7,826,520 "
251,Romeo Langford,SAS,"$3,804,360 ","$5,634,257 ",1st Round Pick,"$9,438,617 "
252,Landry Shamet,PHO,"$3,768,342 ","$9,598,214 ",1st Round Pick,"$46,768,342 "
