Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luka Garza,DET,32,5,12.2,2.1,4.6,0.449,0.5,1.5,0.327,1.6,3.1,0.51,0.503,1.2,1.9,0.623,1.8,1.3,3.1,0.6,0.3,0.2,0.6,1.7,5.8
Rudy Gay,UTA,55,1,18.9,2.9,6.9,0.414,1.3,3.7,0.345,1.6,3.2,0.494,0.507,1.1,1.4,0.785,1,3.4,4.4,1,0.5,0.3,0.9,1.7,8.1
Paul George,LAC,31,31,34.7,8.6,20.5,0.421,2.9,8.3,0.354,5.7,12.2,0.467,0.493,4.1,4.8,0.858,0.4,6.5,6.9,5.7,2.2,0.4,4.1,2.4,24.3
Taj Gibson,NYK,52,4,18.2,1.7,3.2,0.518,0.3,0.7,0.395,1.4,2.5,0.555,0.563,0.8,1,0.808,1.7,2.7,4.4,0.6,0.4,0.8,0.5,2.6,4.4
Josh Giddey,OKC,54,54,31.5,5.2,12.4,0.419,1,3.9,0.263,4.2,8.5,0.492,0.461,1,1.5,0.709,1.8,6,7.8,6.4,0.9,0.4,3.2,1.6,12.5
Shai Gilgeous-Alexander,OKC,56,56,34.7,8.5,18.8,0.453,1.6,5.3,0.3,6.9,13.5,0.514,0.496,5.9,7.2,0.81,0.7,4.3,5,5.9,1.3,0.8,2.8,2.5,24.5
Anthony Gill,WAS,44,0,10.5,1.4,2.5,0.569,0.3,0.6,0.538,1.1,1.9,0.578,0.633,1,1.2,0.808,0.8,1.2,1.9,0.6,0.1,0.3,0.4,1.3,4.1
Freddie Gillespie,ORL,9,2,13.2,1,2.4,0.409,0,0.1,0,1,2.3,0.429,0.409,0.3,0.8,0.429,1.4,2.6,4,0.6,0.3,1,0.6,2,2.3
Rudy Gobert,UTA,66,66,32.1,5.5,7.7,0.713,0,0.1,0,5.5,7.6,0.718,0.713,4.6,6.7,0.69,3.7,11,14.7,1.1,0.7,2.1,1.8,2.7,15.6
Brandon Goodwin,CLE,36,5,13.9,1.8,4.3,0.416,0.5,1.5,0.345,1.3,2.8,0.455,0.477,0.7,1.1,0.632,0.4,1.5,1.9,2.5,0.7,0,1,1.1,4.8
Jordan Goodwin,WAS,2,0,3,0,1.5,0,0,0.5,0,0,1,0,0,0,0,,0,0.5,0.5,0,0,0,0,0.5,0
Aaron Gordon,DEN,75,75,31.7,5.8,11.1,0.52,1.2,3.5,0.335,4.6,7.7,0.605,0.573,2.3,3.1,0.743,1.7,4.2,5.9,2.5,0.6,0.6,1.8,2,15
Eric Gordon,HOU,57,46,29.3,4.7,9.9,0.475,2.2,5.3,0.412,2.5,4.6,0.548,0.585,1.8,2.4,0.778,0.3,1.7,2,2.7,0.5,0.3,1.9,1.1,13.4
Devonte' Graham,NOP,76,63,28.4,3.9,10.7,0.363,2.5,7.4,0.341,1.4,3.3,0.413,0.481,1.6,1.8,0.843,0.5,1.8,2.3,4.2,0.9,0.2,1.4,1.3,11.9
Jerami Grant,DET,47,47,31.9,6.3,14.9,0.426,1.9,5.4,0.358,4.4,9.5,0.465,0.491,4.6,5.5,0.838,0.6,3.5,4.1,2.4,0.9,1,1.8,2.3,19.2
Hassani Gravett,ORL,8,3,21.4,2.3,4.8,0.474,1.4,3.3,0.423,0.9,1.5,0.583,0.618,0.4,0.5,0.75,0.1,2.5,2.6,2.5,0.6,0.1,1.1,1.6,6.3
Danny Green,PHI,62,28,21.8,2,5.2,0.394,1.7,4.4,0.38,0.4,0.8,0.469,0.555,0.2,0.2,0.786,0.5,2,2.5,1,1,0.6,0.7,1.7,5.9
Draymond Green,GSW,46,44,28.9,2.9,5.6,0.525,0.3,1.2,0.296,2.6,4.4,0.586,0.556,1.3,2,0.659,1,6.3,7.3,7,1.3,1.1,3,3,7.5
Jalen Green,HOU,67,67,31.9,6.1,14.2,0.426,2.3,6.8,0.343,3.7,7.4,0.502,0.508,2.8,3.5,0.797,0.5,2.9,3.4,2.6,0.7,0.3,2,1.5,17.3
JaMychal Green,DEN,67,8,16.2,2.4,4.9,0.486,0.5,1.9,0.266,1.9,3,0.621,0.537,1.2,1.4,0.871,1.2,3,4.2,0.9,0.6,0.4,0.9,2.4,6.4
Javonte Green,CHI,65,45,23.4,2.7,5,0.542,0.6,1.6,0.356,2.2,3.4,0.625,0.597,1.2,1.5,0.833,1.4,2.8,4.2,0.9,1,0.5,0.5,2,7.2
Jeff Green,DEN,75,63,24.7,3.7,7.1,0.524,0.7,2.2,0.315,3,4.8,0.62,0.574,2.2,2.6,0.833,0.5,2.5,3.1,1.3,0.4,0.4,0.9,2,10.3
Josh Green,DAL,67,3,15.5,1.9,3.8,0.508,0.4,1.2,0.359,1.5,2.7,0.573,0.563,0.5,0.7,0.689,0.8,1.6,2.4,1.2,0.7,0.2,0.7,1.7,4.8
Blake Griffin,BRK,56,24,17.1,2.4,5.6,0.425,0.7,2.6,0.262,1.7,3,0.565,0.486,1,1.4,0.724,1.1,3,4.1,1.9,0.5,0.3,0.6,1.7,6.4
Quentin Grimes,NYK,46,6,17.1,2.1,5.1,0.404,1.6,4.1,0.381,0.5,1,0.5,0.557,0.3,0.4,0.684,0.5,1.5,2,1,0.7,0.2,0.6,1.6,6
Kyle Guy,MIA,19,0,9.8,1.4,3.4,0.4,0.7,2.1,0.35,0.6,1.3,0.48,0.508,0.4,0.6,0.667,0.2,0.7,0.9,0.9,0.4,0.1,0.7,0.6,3.9
Rui Hachimura,WAS,42,13,22.5,4.5,9.1,0.491,1.3,2.9,0.447,3.1,6.1,0.512,0.563,1.1,1.6,0.697,0.6,3.2,3.8,1.1,0.5,0.2,0.8,1.3,11.3
Tyrese Haliburton,TOT,77,77,35,5.6,11.8,0.473,2.1,5.1,0.414,3.5,6.8,0.517,0.562,2.1,2.5,0.842,0.8,3.2,4,8.2,1.7,0.6,2.6,1.6,15.3
Tyrese Haliburton,SAC,51,51,34.5,5.3,11.5,0.457,2,4.9,0.413,3.2,6.5,0.491,0.546,1.7,2,0.837,0.8,3.1,3.9,7.4,1.7,0.7,2.3,1.4,14.3
Tyrese Haliburton,IND,26,26,36.1,6.2,12.4,0.502,2.2,5.3,0.416,4,7.2,0.565,0.59,2.8,3.3,0.849,0.8,3.5,4.3,9.6,1.8,0.6,3.2,1.9,17.5
Tyler Hall,NYK,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
R.J. Hampton,ORL,64,14,21.9,2.7,7.1,0.383,1,2.9,0.35,1.7,4.3,0.405,0.453,1.2,1.8,0.641,0.4,2.7,3,2.5,0.7,0.2,1.4,1.6,7.6
Tim Hardaway Jr.,DAL,42,20,29.6,5,12.6,0.394,2.4,7.2,0.336,2.5,5.4,0.473,0.491,1.9,2.5,0.757,0.3,3.4,3.7,2.2,0.9,0.1,0.8,1.8,14.2
James Harden,TOT,65,65,37.2,6.3,15.3,0.41,2.3,6.9,0.33,4,8.4,0.476,0.485,7.2,8.2,0.877,0.8,6.8,7.7,10.3,1.3,0.6,4.4,2.4,22
James Harden,BRK,44,44,37,6.6,16,0.414,2.3,7,0.332,4.3,9.1,0.476,0.486,6.9,8,0.869,1,7,8,10.2,1.3,0.7,4.8,2.4,22.5
James Harden,PHI,21,21,37.7,5.5,13.6,0.402,2.2,6.7,0.326,3.3,6.9,0.476,0.483,7.9,8.9,0.892,0.6,6.5,7.1,10.5,1.2,0.2,3.4,2.3,21
Maurice Harkless,SAC,47,24,18.4,1.8,3.9,0.459,0.7,2.1,0.307,1.1,1.7,0.65,0.544,0.4,0.6,0.714,0.3,2.1,2.4,0.5,0.6,0.5,0.7,1.6,4.6
Jared Harper,NOP,5,0,8.6,2.8,5.2,0.538,1,2.4,0.417,1.8,2.8,0.643,0.635,0.8,0.8,1,0.4,0,0.4,2.8,0.8,0.2,0.4,1,7.4
Montrezl Harrell,TOT,71,3,23.1,5,7.8,0.645,0.1,0.2,0.235,5,7.6,0.658,0.649,3,4.2,0.716,2.1,4,6.1,2,0.4,0.6,1,1.9,13.1
Montrezl Harrell,WAS,46,3,24.3,5.4,8.3,0.645,0.1,0.3,0.267,5.3,8,0.66,0.65,3.2,4.5,0.727,2.1,4.6,6.7,2.1,0.4,0.7,1.1,1.9,14.1
Montrezl Harrell,CHO,25,0,21,4.4,6.9,0.645,0,0.1,0,4.4,6.8,0.653,0.645,2.5,3.6,0.692,2.1,2.8,4.9,2,0.4,0.5,0.9,2,11.4
Gary Harris,ORL,61,30,28.4,3.9,9.1,0.434,1.9,5,0.384,2,4.1,0.494,0.539,1.4,1.6,0.874,0.6,1.4,2,1.8,1,0.1,1,1.8,11.1
